product_id,product_name,category,discounted_price $,actual_price $,discount_percentage %,rating,rating_count
B07232M876,Amazonbasics Micro Usb Fast Charging Cable For Android SmartphonePersonal ComputerPrinter With Gold Plated Connectors (6 Feet Black),Computers&Accessories,199,395,0.5,4.2,92595
B07CWNJLPC,AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable Smartphone (Dark Grey 3 feet),Computers&Accessories,499,1200,0.58,4.3,5451
B08CDKQ8T6,Portronics Konnect L 1.2Mtr Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey),Computers&Accessories,154,349,0.56,4.3,7064
B08Y5KXR6Z,PTron Solero T241 2.4A Type-C Data & Charging USB Cable Made in India 480Mbps Data Sync Durable 1-Meter Long USB Cable for Type-C USB Devices for Charging Adapter (Black),Computers&Accessories,99,800,0.88,3.9,24871
B07VTFN6HM,Western Digital WD 2TB My Passport Portable Hard Disk Drive USB 3.0 with? Automatic Backup 256 Bit AES Hardware EncryptionPassword ProtectionCompatible with Windows and Mac External HDD-Black,Computers&Accessories,5599,7350,0.24,4.4,73005
B09NNGHG22,Sansui 140cm (55 inches) 4K Ultra HD Certified Android LED TV with Dolby Audio & Dolby Vision JSW55ASUHD (Mystique Black),Electronics,32990,56790,0.42,4.3,567
B0B2C5MJN6,Hisense 126 cm (50 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 50A6H (Black),Electronics,32990,54990,0.4,4.1,1555
B095JQVC7N,OnePlus 138.7 cm (55 inches) U Series 4K LED Smart Android TV 55U1S (Black),Electronics,42999,59999,0.28,4.1,6753
B015ZXUDD0,Duracell Rechargeable AA 1300mAh Batteries 4Pcs,Electronics,479,599,0.2,4.3,11687
B0B5LVS732,Noise Pulse Go Buzz Smart Watch Bluetooth Calling with 1.69" Display 550 NITS 150+ Cloud Watch Face SPo2 Heart Rate Tracking 100 Sports Mode with Auto Detection Longer Battery (Jet Black),Electronics,1898,4999,0.62,4.1,10689
B0B4PPD89B,Kitchenwell 18Pc Plastic Food Snack Bag Pouch Clip Sealer for Keeping Food Fresh for Home Kitchen Camping Snack Seal Sealing Bag Clips (Multi-Color) | (Pack of 18)|,Home&Kitchen,79,79,0,4,97
B0B3TBY2YX,AGARO Royal Double Layered Kettle 1.5 Litres Double Layered Cool Touch  Dry Boiling Protection Black,Home&Kitchen,1260,2299,0.45,4.3,55
B00V9NHDI4,Eureka Forbes Trendy Zip 1000 Watts powerful suction vacuum cleaner with resuable dust bag & 5 accessories1 year warrantycompactlight weight & easy to use (Black),Home&Kitchen,2799,3799,0.26,3.9,32931
B0883LQJ6B,Usha Goliath GO1200WG Heavy Weight 1200-Watt Dry Iron 1.8 Kg(Red),Home&Kitchen,1199,1690,0.29,4.2,4580
B07WKB69RS,Lifelong LLWH106 Flash 3 Litres Instant Water Heater for Home Use 8 Bar PressurePower On/Off Indicator and Advanced Safety (3000W ISI Certified 2 Years Warranty),Home&Kitchen,2088,5550,0.62,4,5292
B07WKBD37W,ESnipe Mart Worldwide Travel Adapter with Build in Dual USB Charger Ports with 125V 6A 250V Protected Electrical Plug for Laptops Cameras (White),HomeImprovement,425,999,0.57,4,2581
B07R99NBVB,Gizga Essentials Cable Organiser Cord Management System for PC TV Home Theater Speaker & Cables Reusable Cable Organizer for Desk WFH Accessories Organizer Tape Roll Reusable Cable Ties Strap,HomeImprovement,249,599,0.58,4.3,5985
B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments,478,699,0.32,3.8,20218
B076B8G5D8,Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),MusicalInstruments,798,1995,0.6,4,68664
B0846D5CBP,Casio FX-991ES Plus-2nd Edition Scientific Calculator Black,OfficeProducts,1295,1295,0,4.5,5760
B0746N6WML,Parker Vector Camouflage Gift Set - Roller Ball Pen & Parker Logo Keychain (Black Body Blue Ink) 2 Piece Set,OfficeProducts,341,450,0.24,4.3,2493
B00LZLQ624,Classmate Soft Cover 6 Subject Spiral Binding Notebook Single Line 300 Pages,OfficeProducts,157,160,0.02,4.5,8618
B08XNL93PL,Portronics Ruffpad 15 Re-Writable LCD Screen 38.1cm (15-inch) Writing Pad for Drawing Playing Handwriting Gifts for Kids & Adults (Grey),OfficeProducts,1399,2999,0.53,4.3,3530
B00LM4X0KU,Parker Quink Ink Bottle Blue,OfficeProducts,100,100,0,4.3,3095
B00DJ5N9VK,Faber-Castell Connector Set - Pack of 25 (Assorted),Car&Motorbike,150,150,0,4.3,15867
B0912WJ87V,Reffair AX30 [MAX] Portable Air Purifier for Car Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black,Car&Motorbike,2339,4000,0.42,3.8,1118
